record_index	shape_value	delta_value	shape	shape_2bit_bytes	phrase_plain
1318	5359724	282	[2 4 3 4 4 1 5 4]	overflow_word_gt4	lote navidad jamon serrano reserva 4 estaciones navidul
1319	5360226	502	[2 4 3 4 5 1 4 2]	overflow_word_gt4	heno pravia agua colonia glicerina te blanco bote
1320	5360320	94	[2 4 3 4 5 3]	overflow_word_gt4	palo exterior madera natural rozenbal madera
1321	5361664	1344	[2 4 3 5]	overflow_word_gt4	pan tostado pasas hacendado
1322	5361664	0	[2 4 3 5]	overflow_word_gt4	cafe capsula lungo hacendado
1323	5362688	1024	[2 4 3 5 2]	overflow_word_gt4	zumo granada ekolo ecologico ec
1324	5362688	0	[2 4 3 5 2]	overflow_word_gt4	mini bombon helado carrefour 8ud
1325	5362688	0	[2 4 3 5 2]	overflow_word_gt4	mini berlina azucar carrefour 5ud
1326	5362688	0	[2 4 3 5 2]	overflow_word_gt4	dia sorbete limon barqeta tg
1327	5362688	0	[2 4 3 5 2]	overflow_word_gt4	gel afeitar series gillette viml
1328	5362688	0	[2 4 3 5 2]	overflow_word_gt4	dia sorbete limon barqeta tg
1329	5362970	282	[2 4 3 5 2 4 3 2]	overflow_word_gt4	olla presion acero inoxidable san ignacio duero 9l
1330	5363328	358	[2 4 3 5 3 2]	overflow_word_gt4	dia barrita fruta periqitos bolsa veg
1331	5363840	512	[2 4 3 5 4 2]	overflow_word_gt4	zumo arandano juver seleccion botella soc
1332	5363840	0	[2 4 3 5 4 2]	overflow_word_gt4	gel stick arnica arpagofito arnidol lml
1333	5363856	16	[2 4 3 5 4 2 2]	overflow_word_gt4	cazo clasico acero inoxidable vulcano rc inox
1334	5364048	192	[2 4 3 5 4 5 2]	overflow_word_gt4	nata cocinar ligera central lechera asturiana kml
1335	5364048	0	[2 4 3 5 4 5 2]	overflow_word_gt4	nata cocinar ligera central lechera asturiana kml
1336	5364224	176	[2 4 3 5 5]	overflow_word_gt4	cafe capsula fuerte hacendado espresso
1337	5364224	0	[2 4 3 5 5]	overflow_word_gt4	cafe capsula fuerte hacendado espresso
1338	5365248	1024	[2 4 3 5 7]	overflow_word_gt4	mini rollito setas hacendado ultracongela
1339	5365760	512	[2 4 3 6]	overflow_word_gt4	mini taqitos jamon incarlopsa
1340	5366784	1024	[2 4 3 6 2]	overflow_word_gt4	nata cocinar ligera president 6ml
1341	5367066	282	[2 4 3 6 2 4 3 2]	overflow_word_gt4	dia chicle sabor hierbabuena sin azucares bolsa osg
1342	5367424	358	[2 4 3 6 3 2]	overflow_word_gt4	dia alimento perro salchicha carne 1k
1343	5367509	85	[2 4 3 6 3 3 2 5]	overflow_word_gt4	miel artesana azahar monofloral polen jalea real propoleo
1344	5367568	59	[2 4 3 6 3 4 2]	overflow_word_gt4	miel artesana romero monofloral primo mendoza 1k
1345	5367568	0	[2 4 3 6 3 4 2]	overflow_word_gt4	miel artesana azahar monofloral primo mendoza kg
1346	5368960	1392	[2 4 3 6 6 2]	overflow_word_gt4	gel higiene intima proteccion lactac3d 6ml
1347	5368960	0	[2 4 3 6 6 2]	overflow_word_gt4	gel higiene intima hidratante lactac3d 6ml
1348	5370880	1920	[2 4 3 7 2]	overflow_word_gt4	pan centeno bolsa mestemacher kg
1349	5372224	1344	[2 4 3 7 4 5]	overflow_word_gt4	cafe soluble sobre descafeinado nescafe classic
1350	5373952	1728	[2 4 4]	7c	nuez fresca granel
1351	5373952	0	[2 4 4]	7c	udas postiza deliplu
1352	5373952	0	[2 4 4]	7c	nuez fresca granel
1353	5378048	4096	[2 4 4 1]	7c	pazo ribeiro blanco me
1354	5378768	720	[2 4 4 1 1 3 2]	7c24	atud aceite girasol p 6 latas leg
1355	5378768	0	[2 4 4 1 1 3 2]	7c24	atud aceite girasol p 6 latas leg
1356	5379200	432	[2 4 4 1 2 2]	7c50	lote embutido ibericos el lujo qk
1357	5379657	457	[2 4 4 1 3 1 1 1]	7c80	dia nectar light 5 fruta p 6 ud
1358	5380736	1079	[2 4 4 1 5 2]	overflow_word_gt4	vino blanco miracle do valencia vic
1359	5382144	1408	[2 4 4 2]	7d	dia mayonesa frasco ifml
1360	5382144	0	[2 4 4 2]	7d	atud aceite girasol utg
1361	5382144	0	[2 4 4 2]	7d	cola blanca pritt acg
1362	5382144	0	[2 4 4 2]	7d	atud aceite girasol utg
1363	5382144	0	[2 4 4 2]	7d	dia gaseosa botella ll
1364	5382144	0	[2 4 4 2]	7d	masa empanada buitoni teg
1365	5382144	0	[2 4 4 2]	7d	pan candeal grande kg
1366	5382144	0	[2 4 4 2]	7d	atud aceite girasol utg
1367	5382656	512	[2 4 4 2 1]	7d00	juve camps familia cava pi
1368	5382656	0	[2 4 4 2 1]	7d00	juve camps familia cava pi
1369	5382656	0	[2 4 4 2 1]	7d00	juve camps familia cava pi
1370	5382656	0	[2 4 4 2 1]	7d00	juve camps familia cava pi
1371	5382656	0	[2 4 4 2 1]	7d00	juve camps familia cava pi
1372	5382864	208	[2 4 4 2 1 3 2]	7d24	vino blanco verdejo cuvi do rueda vic
1373	5382864	0	[2 4 4 2 1 3 2]	7d24	vino blanco verdejo cuvi do rueda vic
1374	5382864	0	[2 4 4 2 1 3 2]	7d24	vino blanco verdejo cuvi do rueda vic
1375	5382864	0	[2 4 4 2 1 3 2]	7d24	vino blanco verdejo cuvi do rueda vic
1376	5383168	304	[2 4 4 2 2]	7d40	dia cerveza alemana lata boc
1377	5383168	0	[2 4 4 2 2]	7d40	dia cereales soluble bote xag
1378	5383168	0	[2 4 4 2 2]	7d40	dia cereales soluble bote xag
1379	5383168	0	[2 4 4 2 2]	7d40	dia lenteja chorizo lata obg
1380	5383296	128	[2 4 4 2 2 2]	7d50	atud aceite girasol albo lata utg
1381	5383296	0	[2 4 4 2 2 2]	7d50	atud aceite girasol albo lata utg
1382	5383460	164	[2 4 4 2 2 4 4 4]	7d7f	laca cabello normal todo tipo cabello deliplu fijacion
1383	5383680	220	[2 4 4 2 3]	7d80	uva blanca granel kg apro7
1384	5383680	0	[2 4 4 2 3]	7d80	dia incienso sandalo caja euds
1385	5383808	128	[2 4 4 2 3 2]	7d90	dia fiambre pechuga pavo pieza yag
1386	5383832	24	[2 4 4 2 3 2 3]	7d98	evax protege slips maxi plus caja fuds
1387	5383898	66	[2 4 4 2 3 3 3 2]	7da9	gel fijador perfec fi7 extra fuerte giorgi 6ml
1388	5383952	54	[2 4 4 2 3 4 2]	7db4	miel artesana anergia ma7 primo mendoza kg
1389	5383962	10	[2 4 4 2 3 4 3 2]	7db9	the rustik baker3 pan molde cereales bolsa ifg
1390	5383962	0	[2 4 4 2 3 4 3 2]	7db9	dia fiambre pechuga pavo finas loncha sobre lig
1391	5384320	358	[2 4 4 2 4 2]	7dd0	san martin lionesas nata estuche rg
1392	5384349	29	[2 4 4 2 4 2 3 5]	overflow_word_gt4	oral cepillo dental pro expert 3d 8hite blister
1393	5384384	35	[2 4 4 2 4 3]	7de0	lote hombre mist3 wood esencia vital
1394	5384400	16	[2 4 4 2 4 3 2]	7de4	dr schar baguette sin gluten envase asg
1395	5385040	640	[2 4 4 2 5 5 2]	overflow_word_gt4	vino blanco sauterne cave dagustin flotent vic
1396	5385040	0	[2 4 4 2 5 5 2]	overflow_word_gt4	vino blanco sauterne cave dagustin flotent vic
1397	5385040	0	[2 4 4 2 5 5 2]	overflow_word_gt4	vino blanco sauterne cave dagustin flotent vic
1398	5386240	1200	[2 4 4 3]	7e	sosa caustica bosqe verde
1399	5386880	640	[2 4 4 3 1 2]	7e10	dia cereales relleno leche p kg
1400	5386953	73	[2 4 4 3 1 3 1 1]	7e20	vino blanco verdejo proto do rueda p 2
1401	5387264	311	[2 4 4 3 2]	7e40	dia ensalada variada bolsa xag
1402	5387264	0	[2 4 4 3 2]	7e40	dia ensalada variada bolsa xag
1403	5387264	0	[2 4 4 3 2]	7e40	vino espumoso muscat botani vic
1404	5387264	0	[2 4 4 3 2]	7e40	dia brioche rebanada bolsa kg
1405	5387392	128	[2 4 4 3 2 2]	7e50	dia sardina aceite oliva lata ing
1406	5387456	64	[2 4 4 3 2 3]	7e60	evax protege slips tanga caja nuds
1407	5387467	11	[2 4 4 3 2 3 1 3]	7e62	lomo iberico bellota jabugo bari cuyar al corte
1408	5387472	5	[2 4 4 3 2 3 2]	7e64	vino blanco marqes cacere doca rioja vic
1409	5387546	74	[2 4 4 3 2 4 3 2]	7e79	dr schar baguette vital sin gluten envase ajg
1410	5387904	358	[2 4 4 3 3 2]	7e90	dia torcida regali6 negro bolsa uqg
1411	5387904	0	[2 4 4 3 3 2]	7e90	pan rustic aceite oliva andre isg
1412	5387904	0	[2 4 4 3 3 2]	7e90	pan rustic aceite oliva andre isg
1413	5387904	0	[2 4 4 3 3 2]	7e90	dia chicle triple accion bolsa nig
1414	5387968	64	[2 4 4 3 3 3]	7ea0	dia toallita limpia mueble envase euds
1415	5387988	20	[2 4 4 3 3 3 2 4]	7ea7	dia chicle grageas sabor menta suave sin azucares
1416	5388032	44	[2 4 4 3 3 4]	7eb0	vaso peqeno bosqe verde bebida caliente
1417	5388148	116	[2 4 4 3 3 5 6 4]	overflow_word_gt4	cafe natural monodosi gran aroma marcilla compatible senseo
1418	5388416	268	[2 4 4 3 4 2]	7ed0	miel artesana apichoc primi mendoza teg
1419	5388416	0	[2 4 4 3 4 2]	7ed0	laca fijadora normal loreal elnett yaml
1420	5388800	384	[2 4 4 3 5]	overflow_word_gt4	zumo fresh maracuya chia hacendado
1421	5389072	272	[2 4 4 3 5 4 2]	overflow_word_gt4	dia barrita cereales muesli chocolate estuche jug
1422	5389312	240	[2 4 4 3 6]	overflow_word_gt4	vino blanco espumoso silaba fri6zante
1423	5389392	80	[2 4 4 3 6 1 2]	overflow_word_gt4	st michel galleta palet manteqilla p jug
1424	5390336	944	[2 4 4 4]	7f	cafe capsula cortado tassimo
1425	5390922	586	[2 4 4 4 1 1 1 2]	7f01	dia nectar light naranja p 6 ud xaml
1426	5391002	80	[2 4 4 4 1 2 3 2]	7f19	vino blanco albarino vinabade do rias baixas vic
1427	5391360	358	[2 4 4 4 2]	7f40	don algodon colonia frasco xaml
1428	5391360	0	[2 4 4 4 2]	7f40	caja jamonera grande soporta kk
1429	5391488	128	[2 4 4 4 2 2]	7f50	boya sardina aceite vegetal lata seg
1430	5391488	0	[2 4 4 4 2 2]	7f50	boya sardina aceite vegetal lata seg
1431	5391488	0	[2 4 4 4 2 2]	7f50	boya sardina aceite vegetal lata seg
1432	5391552	64	[2 4 4 4 2 3]	7f60	evax protege slips normal caja aluds
1433	5391616	64	[2 4 4 4 2 4]	7f70	lote hombre antonio bandera the secret
1434	5391616	0	[2 4 4 4 2 4]	7f70	lote hombre antonio bandera the secret
1435	5391636	20	[2 4 4 4 2 4 2 4]	7f77	dr schar galleta rellena mini sorrisi sin gluten
1436	5391636	0	[2 4 4 4 2 4 2 4]	7f77	dr schar galleta rellena mini sorrisi sin gluten
1437	5391675	39	[2 4 4 4 2 4 7 3]	overflow_word_gt4	lote embutido ibericos bellota lomo chorizo salchichon tacos
1438	5392000	325	[2 4 4 4 3 2]	7f90	miel bosqe galicia nuestra tierra kg
1439	5392000	0	[2 4 4 4 3 2]	7f90	mari marinera trucha ahumada envase acg
1440	5392336	336	[2 4 4 4 3 7 2]	overflow_word_gt4	vino blanco verdejo faustino rivero vtcastilla vic
1441	5392474	138	[2 4 4 4 4 1 3 2]	7fc9	boya sardina picante aceite vegetal ci piezas lata
1442	5392512	38	[2 4 4 4 4 2]	7fd0	dia aceite refinado girasol botella 1l
1443	5392512	0	[2 4 4 4 4 2]	7fd0	don algodon colonia silver spra3 acml
1444	5392896	384	[2 4 4 4 5]	overflow_word_gt4	cafe soluble natural nescafe classic
1445	5392896	0	[2 4 4 4 5]	overflow_word_gt4	pan tostado cereales semilla hacendado
1446	5392970	74	[2 4 4 4 5 1 1 2]	overflow_word_gt4	cafe me6cla expres monodosi carrefour c ud 7g
1447	5393172	202	[2 4 4 4 5 4 2 4]	overflow_word_gt4	dr schar galleta rellena chocolate sorrisi sin gluten
1448	5393186	14	[2 4 4 4 5 4 4 2]	overflow_word_gt4	yak esponja calzado brillo inmediato incolora especial piel
1449	5393801	615	[2 4 4 4 6 6 1 1]	overflow_word_gt4	cafe armonico capsula lava6za compatible nespresso g ud
1450	5394432	631	[2 4 4 5]	overflow_word_gt4	atud aceite girasol hacendado
1451	5394432	0	[2 4 4 5]	overflow_word_gt4	ron blanco superior almirante
1452	5394432	0	[2 4 4 5]	overflow_word_gt4	ron blanco superior almirante
1453	5395456	1024	[2 4 4 5 2]	overflow_word_gt4	mini berlina bombon carrefour 5ud
1454	5395456	0	[2 4 4 5 2]	overflow_word_gt4	pan chapata gourmet carrefour atg
1455	5395456	0	[2 4 4 5 2]	overflow_word_gt4	mini berlina bombon carrefour 5ud
1456	5395456	0	[2 4 4 5 2]	overflow_word_gt4	cafe soluble natural carrefour xag
1457	5395456	0	[2 4 4 5 2]	overflow_word_gt4	cafe soluble natural carrefour acg
1458	5395456	0	[2 4 4 5 2]	overflow_word_gt4	cafe soluble natural carrefour xag
1459	5395968	512	[2 4 4 5 3]	overflow_word_gt4	cafe soluble clasico hacendado sobre
1460	5396096	128	[2 4 4 5 3 2]	overflow_word_gt4	pipa tostada aguasal carrefour bolsa 6g
1461	5396176	80	[2 4 4 5 3 3 2]	overflow_word_gt4	gel fijador 7trema control total giorgi juml
1462	5396240	64	[2 4 4 5 3 4 2]	overflow_word_gt4	zumo naranja zumosol exprimido pulpa botella vic
1463	5396480	240	[2 4 4 5 4]	overflow_word_gt4	set cepillo vildea udiversal bicolor
1464	5396608	128	[2 4 4 5 4 2]	overflow_word_gt4	cafe soluble natural classic nescafe lig
1465	5396608	0	[2 4 4 5 4 2]	overflow_word_gt4	cafe soluble natural colombia nescafe acg
1466	5396608	0	[2 4 4 5 4 2]	overflow_word_gt4	cafe soluble natural classic nescafe xag
1467	5396608	0	[2 4 4 5 4 2]	overflow_word_gt4	cafe soluble natural classic nescafe xag
1468	5396608	0	[2 4 4 5 4 2]	overflow_word_gt4	cafe soluble natural classic nescafe xag
1469	5396624	16	[2 4 4 5 4 2 2]	overflow_word_gt4	dia cereales relleno chocolate avellana caja kg
1470	5396624	0	[2 4 4 5 4 2 2]	overflow_word_gt4	dia cereales relleno chocolate avellana caja kg
1471	5397721	1097	[2 4 4 5 6 3 3 1]	overflow_word_gt4	cafe cortado capsula carrefour compatible dolce gusto r
1472	5397897	176	[2 4 4 5 6 6 1 1]	overflow_word_gt4	cafe intenso capsula carrefour compatible nespresso n ud
1473	5397897	0	[2 4 4 5 6 6 1 1]	overflow_word_gt4	cafe intenso capsula carrefour compatible nespresso g ud
1474	5397897	0	[2 4 4 5 6 6 1 1]	overflow_word_gt4	cafe intenso capsula carrefour compatible nespresso g ud
1475	5398234	337	[2 4 4 5 7 3 3 2]	overflow_word_gt4	gel fijador extreme freezing schwar6ko taft power liml
1476	5398528	294	[2 4 4 6]	overflow_word_gt4	vino blanco afrutado blancauvas
1477	5399552	1024	[2 4 4 6 2]	overflow_word_gt4	menu premium canarios vitakraft 1k
1478	5400272	720	[2 4 4 6 3 3 2]	overflow_word_gt4	vino blanco verdejo fri6zante dolce bianco vic
1479	5404352	4080	[2 4 4 7 3 3]	overflow_word_gt4	cafe capsula cortado descafeinado dolce gusto
1480	5404800	448	[2 4 4 7 4 2]	overflow_word_gt4	cafe soluble natural descafeinado nescafe acg
1481	5406720	1920	[2 4 5]	overflow_word_gt4	sal gruesa hacendado
1482	5406720	0	[2 4 5]	overflow_word_gt4	miel naranjo hacendado
1483	5406720	0	[2 4 5]	overflow_word_gt4	zumo manzana hacendado
1484	5406720	0	[2 4 5]	overflow_word_gt4	zumo manzana hacendado
1485	5406720	0	[2 4 5]	overflow_word_gt4	ajos alinados hacendado
1486	5406720	0	[2 4 5]	overflow_word_gt4	ajos alinados hacendado
1487	5406720	0	[2 4 5]	overflow_word_gt4	pan rallado hacendado
1488	5406720	0	[2 4 5]	overflow_word_gt4	maiz palomita hacendado
1489	5406720	0	[2 4 5]	overflow_word_gt4	ajos alinados hacendado
1490	5406720	0	[2 4 5]	overflow_word_gt4	zumo manzana hacendado
1491	5411408	4688	[2 4 5 1 1 1 2]	overflow_word_gt4	mini qesitos bab3bel p k ud eg
1492	5411408	0	[2 4 5 1 1 1 2]	overflow_word_gt4	mini qesitos bab3bel p k ud eg
1493	5411600	192	[2 4 5 1 1 4 2]	overflow_word_gt4	vino blanco carrefour p 3 briks ec
1494	5411600	0	[2 4 5 1 1 4 2]	overflow_word_gt4	zumo manzana carrefour p 6 briks ec
1495	5411600	0	[2 4 5 1 1 4 2]	overflow_word_gt4	vino blanco carrefour p 3 briks ec
1496	5411600	0	[2 4 5 1 1 4 2]	overflow_word_gt4	vino blanco carrefour p 3 briks ec
1497	5411600	0	[2 4 5 1 1 4 2]	overflow_word_gt4	vino blanco carrefour p 3 briks ec
1498	5411600	0	[2 4 5 1 1 4 2]	overflow_word_gt4	vino blanco carrefour p 3 briks ec
1499	5413026	1426	[2 4 5 1 4 2 4 2]	overflow_word_gt4	pan rallado carrefour no gluten sin gluten xag
1500	5414912	1886	[2 4 5 2]	overflow_word_gt4	gal vaselina perfumada udml
1501	5414912	0	[2 4 5 2]	overflow_word_gt4	pate iberico carrefour agg
1502	5414912	0	[2 4 5 2]	overflow_word_gt4	atud ahumado carrefour ing
1503	5414912	0	[2 4 5 2]	overflow_word_gt4	pan natural carrefour lg
1504	5414912	0	[2 4 5 2]	overflow_word_gt4	pan rallado carrefour pg
1505	5414912	0	[2 4 5 2]	overflow_word_gt4	atud ahumado carrefour ing
1506	5414912	0	[2 4 5 2]	overflow_word_gt4	pate iberico carrefour agg
1507	5414912	0	[2 4 5 2]	overflow_word_gt4	zum trampa cucaracha 1ud
1508	5414912	0	[2 4 5 2]	overflow_word_gt4	tila bolsita carrefour boud
1509	5414912	0	[2 4 5 2]	overflow_word_gt4	pan rallado carrefour kg
1510	5415936	1024	[2 4 5 2 2]	overflow_word_gt4	dia mostaza barrilito bote liml
1511	5416084	148	[2 4 5 2 2 2 2 4]	overflow_word_gt4	pate campana ecologico eth pate mia sin gluten
1512	5416346	262	[2 4 5 2 2 6 3 2]	overflow_word_gt4	gel fijador perfect fi7 bh extrafuerte giorgi juml
1513	5416576	230	[2 4 5 2 3 2]	overflow_word_gt4	hero snack zanahoria maiz bolsa cog
1514	5416656	80	[2 4 5 2 3 3 2]	overflow_word_gt4	zumo manzana ecologico don simon brik 1l
1515	5416668	12	[2 4 5 2 3 3 3 4]	overflow_word_gt4	gel fijador perfect fi7 extra fuerte giorgi fijacion
1516	5416668	0	[2 4 5 2 3 3 3 4]	overflow_word_gt4	gel fijador perfect fi7 extra fuerte giorgi fijacion
1517	5417088	420	[2 4 5 2 4 2]	overflow_word_gt4	don limpio limpiador bano botella udl
1518	5417088	0	[2 4 5 2 4 2]	overflow_word_gt4	pate pimienta carrefour sin gluten pog
1519	5417122	34	[2 4 5 2 4 2 4 2]	overflow_word_gt4	pate olivada carrefour sin gluten sin lactosa ogg
1520	5417122	0	[2 4 5 2 4 2 4 2]	overflow_word_gt4	pan rallado panceliac sin gluten sin lactosa xag
1521	5417280	158	[2 4 5 2 4 5]	overflow_word_gt4	nata montada azucarada sin lactosa friocrem
1522	5417472	192	[2 4 5 2 5]	overflow_word_gt4	cafe capsula colombia lor espresso
1523	5419648	2176	[2 4 5 3 1 2]	overflow_word_gt4	dia cereales chocko3 choc p kg
1524	5419792	144	[2 4 5 3 1 4 2]	overflow_word_gt4	vino blanco semidulce bach do cataluna vic
1525	5419840	48	[2 4 5 3 1 5]	overflow_word_gt4	vino blanco semidulce bach do catalunya
1526	5420032	192	[2 4 5 3 2]	overflow_word_gt4	zumo naranja carrefour brik 1l
1527	5420032	0	[2 4 5 3 2]	overflow_word_gt4	dia grageas chocolate bolsa 6g
1528	5420032	0	[2 4 5 3 2]	overflow_word_gt4	zumo granada ecologico ekolo pml
1529	5420160	128	[2 4 5 3 2 2]	overflow_word_gt4	lote hombre borealia shine for him
1530	5420160	0	[2 4 5 3 2 2]	overflow_word_gt4	lote hombre borealia shine for him
1531	5420480	320	[2 4 5 3 2 7]	overflow_word_gt4	bote redondo plastico tata3 1l transparen
1532	5420672	192	[2 4 5 3 3 2]	overflow_word_gt4	zumo naranja carrefour pulpa brik 1l
1533	5420672	0	[2 4 5 3 3 2]	overflow_word_gt4	zumo naranja carrefour pulpa brik 1l
1534	5420672	0	[2 4 5 3 3 2]	overflow_word_gt4	zumo naranja carrefour pulpa brik 1l
1535	5420816	144	[2 4 5 3 3 4 2]	overflow_word_gt4	vino blanco semidulce solar ricot botella vic
1536	5420937	121	[2 4 5 3 3 6 1 1]	overflow_word_gt4	dia postre gelificado fresa limon multifruta p 6
1537	5420937	0	[2 4 5 3 3 6 1 1]	overflow_word_gt4	dia postre gelificado fresa limon multifruta p 6
1538	5420937	0	[2 4 5 3 3 6 1 1]	overflow_word_gt4	dia postre gelificado fresa limon multifruta p 6
1539	5421152	215	[2 4 5 3 4 1 4]	overflow_word_gt4	dia infusion jengibre limon estuche d bolsita
1540	5421184	32	[2 4 5 3 4 2]	overflow_word_gt4	miel artesana espliego primo mendoza 1k
1541	5421184	0	[2 4 5 3 4 2]	overflow_word_gt4	laca fijacion flexible prov pantene liml
1542	5421184	0	[2 4 5 3 4 2]	overflow_word_gt4	don limpio limpiador cocina pistola kml
1543	5421210	26	[2 4 5 3 4 2 3 2]	overflow_word_gt4	cava reserva ecologico agusti torello mata brut vic
1544	5421218	8	[2 4 5 3 4 2 4 2]	overflow_word_gt4	tofu ahumado ecologico soria natural sin gluten 6g
1545	5421568	350	[2 4 5 3 5]	overflow_word_gt4	cafe soluble espresso crema hacendado
1546	5421658	90	[2 4 5 3 5 1 3 2]	overflow_word_gt4	vino blanco ecologico ermita despiell do penede vic
1547	5423714	2056	[2 4 5 4 1 1 4 2]	overflow_word_gt4	zumo sunn3 delight florida p 4 botella ec
1548	5423808	94	[2 4 5 4 1 3]	overflow_word_gt4	vino blanco semidulce diamante do rioja
1549	5423808	0	[2 4 5 4 1 3]	overflow_word_gt4	vino blanco semidulce diamante do rioja
1550	5424128	320	[2 4 5 4 2]	overflow_word_gt4	vino blanco fuentevina botella vic
1551	5424128	0	[2 4 5 4 2]	overflow_word_gt4	nuez mondada carrefour tarrina jug
1552	5424128	0	[2 4 5 4 2]	overflow_word_gt4	vino blanco fuentevina botella vic
1553	5424128	0	[2 4 5 4 2]	overflow_word_gt4	nuez mondada carrefour tarrina jug
1554	5424128	0	[2 4 5 4 2]	overflow_word_gt4	vino blanco fuentevina botella vic
1555	5424128	0	[2 4 5 4 2]	overflow_word_gt4	vino blanco fuentevina botella vic
1556	5424320	192	[2 4 5 4 2 3]	overflow_word_gt4	nuez cascara carrefour granel kg apro7
1557	5424320	0	[2 4 5 4 2 3]	overflow_word_gt4	nuez cascara carrefour granel kg apro7
1558	5424448	128	[2 4 5 4 2 5]	overflow_word_gt4	gel depilar cuchilla deliplu piel sensible
1559	5424768	320	[2 4 5 4 3 2]	overflow_word_gt4	pan rallado crujiente rebozar gallo kg
1560	5425152	384	[2 4 5 4 4]	overflow_word_gt4	lote neceser infantil marvel capitain
1561	5425280	128	[2 4 5 4 4 2]	overflow_word_gt4	zumo naranja ecologico delizum botella ec
1562	5425360	80	[2 4 5 4 4 3 2]	overflow_word_gt4	mini barrita chocolate galleta caramelo mars fug
1563	5425424	64	[2 4 5 4 4 4 2]	overflow_word_gt4	dia cookies chocolate blanco arandano estuche xag
1564	5425424	0	[2 4 5 4 4 4 2]	overflow_word_gt4	dia cookies chocolate blanco arandano estuche xag
1565	5425424	0	[2 4 5 4 4 4 2]	overflow_word_gt4	dia cookies chocolate blanco arandano estuche xag
1566	5425792	368	[2 4 5 4 5 2]	overflow_word_gt4	nata cocinar central lechera asturiana xaml
1567	5425792	0	[2 4 5 4 5 2]	overflow_word_gt4	cafe soluble espresso intenso carrefour ing
1568	5425826	34	[2 4 5 4 5 2 4 2]	overflow_word_gt4	nata cocinar central lechera asturiana sin lactosa xaml
1569	5425827	1	[2 4 5 4 5 2 4 3]	overflow_word_gt4	dr schar panecillo tostado crostini sin gluten bolsa
1570	5425867	40	[2 4 5 4 5 3 1 3]	overflow_word_gt4	seda dental essencial floss ceramenta oralb bo metro
1571	5426587	720	[2 4 5 4 6 6 3 3]	overflow_word_gt4	cafe veranda americano capsula starbuck compatible dolce gusto
1572	5428224	1637	[2 4 5 5 2]	overflow_word_gt4	red figurita halloween dillepasa acg
1573	5428224	0	[2 4 5 5 2]	overflow_word_gt4	pan tostado integral carrefour fg
1574	5428224	0	[2 4 5 5 2]	overflow_word_gt4	pan tostado integral carrefour 7g
1575	5428224	0	[2 4 5 5 2]	overflow_word_gt4	red calabaza halloween dillepasa acg
1576	5428224	0	[2 4 5 5 2]	overflow_word_gt4	pan tostado integral carrefour 7g
1577	5428352	128	[2 4 5 5 2 2]	overflow_word_gt4	hs champu anticaspa classic bote fml
1578	5428352	0	[2 4 5 5 2 2]	overflow_word_gt4	miel tomillo antigoteo carrefour bote kg
1579	5428352	0	[2 4 5 5 2 2]	overflow_word_gt4	tofu natural ecologico carrefour bio yag
1580	5428352	0	[2 4 5 5 2 2]	overflow_word_gt4	tofu natural ecologico carrefour bio yag
1581	5428562	210	[2 4 5 5 2 5 2 2]	overflow_word_gt4	bote redondo plastico carrefour home carrefour 5l 3ud
1582	5428864	302	[2 4 5 5 3 2]	overflow_word_gt4	zumo naranja mandarina carrefour brik 1l
1583	5428864	0	[2 4 5 5 3 2]	overflow_word_gt4	pan espelta integral ecologico paneco yag
1584	5428890	26	[2 4 5 5 3 2 3 2]	overflow_word_gt4	vino chileno cabernet sauvignon tinto gato negro vic
1585	5428907	17	[2 4 5 5 3 2 5 3]	overflow_word_gt4	oral cabezal recambio precision clean eb2 blister 2uds
1586	5428944	37	[2 4 5 5 3 3 2]	overflow_word_gt4	zumo naranja carrefour exprimido pulpa brik 1l
1587	5429376	432	[2 4 5 5 4 2]	overflow_word_gt4	nata montada azucarada carrefour spra3 6ml
1588	5429520	144	[2 4 5 5 4 4 2]	overflow_word_gt4	pasa sultana ecologica carrefour granel tarrina agg
1589	5429584	64	[2 4 5 5 4 5 2]	overflow_word_gt4	mini barrita chocolate cacahuete caramelo snicker xig
1590	5431184	1600	[2 4 5 5 7 6 2]	overflow_word_gt4	gel aceite almendra essential hipoalergenico mussvital pml
1591	5432009	825	[2 4 5 6 1 3 1 1]	overflow_word_gt4	caja archivo definitivo liderpapel fi folio p 4
1592	5432320	311	[2 4 5 6 2]	overflow_word_gt4	pan burguer chapatta cristalina 2ud
1593	5432320	0	[2 4 5 6 2]	overflow_word_gt4	menu premium periqitos vitakraft 1k
1594	5432914	594	[2 4 5 6 3 1 2 2]	overflow_word_gt4	roc fluido udificante antimancha spf bo caja boml
1595	5432960	46	[2 4 5 6 3 2]	overflow_word_gt4	zumo manzana ecologico hollinger brik 1l
1596	5433104	144	[2 4 5 6 3 4 2]	overflow_word_gt4	miel artesana eucaliptu monofloral primo mendoza kg
1597	5433104	0	[2 4 5 6 3 4 2]	overflow_word_gt4	miel artesana eucaliptu monofloral primo mendoza 1k
1598	5433472	368	[2 4 5 6 4 2]	overflow_word_gt4	zumo manzana ecologico valfrutta botella 1l
1599	5433984	512	[2 4 5 6 5 2]	overflow_word_gt4	nata montada azucarada aromatizada carrefour kg
1600	5445328	11344	[2 4 6 1 3 3 2]	overflow_word_gt4	dia caramelo masticable 5 sabore bolsa 6g
1601	5448704	3376	[2 4 6 2 2]	overflow_word_gt4	lote hombre bustamante mu3 mio
